,Unnamed: 0,Name,Symbol,Open,High,Low,Close,Net Chg,% Chg,Volume,52 Wk High,52 Wk Low,Div,Yield,P/E,YTD % Chg,Stock,day,date
160418,884,Greenhill,GHL,18.2,18.7,18.1,18.5,0.45,2.49,"512,265",29.6,13.8,0.2,1.08,...,-5.13,Thursday,Thursday,3/29/2018
160419,880,Greenhill,GHL,19,19.5,19,19.35,0.15,0.78,"291,170",29.05,13.8,0.2,1.03,...,-0.77,Wednesday,Wednesday,4/11/2018
160420,881,Greenhill,GHL,19.5,20.1,19.45,20,0.65,3.36,"348,346",29.05,13.8,0.2,1,...,2.56,Thursday,Thursday,4/12/2018
160421,873,Greenhill,GHL,20.05,20.15,19.65,20,0.1,0.5,"385,524",29.05,13.8,0.2,1,...,2.56,Tuesday,Tuesday,4/17/2018
160422,876,Greenhill,GHL,20,20.1,19.65,19.85,-0.15,-0.75,"429,209",29.05,13.8,0.2,1.01,...,1.79,Wednesday,Wednesday,4/18/2018
160423,882,Greenhill,GHL,19.8,20.05,19.75,19.95,0.1,0.5,"304,511",29.05,13.8,0.2,1,...,2.31,Thursday,Thursday,4/19/2018
160424,875,Greenhill,GHL,19.9,19.95,19.7,19.85,-0.1,-0.5,"330,900",29.05,13.8,0.2,1.01,...,1.79,Friday,Friday,4/20/2018
160425,879,Greenhill,GHL,19.9,20,19.48,19.7,-0.05,-0.25,"315,089",29.05,13.8,0.2,1.02,...,1.03,Tuesday,Tuesday,4/24/2018
160426,882,Greenhill,GHL,19.6,19.9,19.45,19.7,...,...,"351,915",29.05,13.8,0.2,1.02,...,1.03,Wednesday,Wednesday,4/25/2018
160427,881,Greenhill,GHL,19.95,20.2,19.9,20.2,0.25,1.25,"197,830",26.85,13.8,0.2,0.99,...,3.59,Friday,Friday,4/27/2018
160428,879,Greenhill,GHL,20.15,20.45,20.15,20.3,0.1,0.5,"423,717",26,13.8,0.2,0.99,...,4.1,Monday,Monday,4/30/2018
160429,885,Greenhill,GHL,20.35,20.77,20.15,20.7,0.4,1.97,"432,884",25.6,13.8,0.2,0.97,...,6.15,Tuesday,Tuesday,5/1/2018
160430,883,Greenhill,GHL,20.5,21.15,20.3,21.15,0.55,2.67,"563,530",25.4,13.8,0.2,0.95,...,8.46,Thursday,Thursday,5/3/2018
160431,881,Greenhill,GHL,21.6,24.5,21.5,24.15,3,14.18,"2,090,864",25.35,13.8,0.2,0.83,...,23.85,Friday,Friday,5/4/2018
160432,885,Greenhill,GHL,24.35,24.95,24.15,24.85,0.7,2.9,"1,011,440",25.3,13.8,0.2,0.8,...,27.44,Monday,Monday,5/7/2018
160433,880,Greenhill,GHL,24.85,25.65,24.85,25.45,0.6,2.41,"1,162,811",25.65,13.8,0.2,0.79,...,30.51,Tuesday,Tuesday,5/8/2018
160434,889,Greenhill,GHL,25.65,26.55,25.65,26.3,0.85,3.34,"785,449",26.55,13.8,0.2,0.76,...,34.87,Wednesday,Wednesday,5/9/2018
160435,885,Greenhill,GHL,26.3,26.35,25.88,26,-0.3,-1.14,"354,929",26.55,13.8,0.2,0.77,...,33.33,Thursday,Thursday,5/10/2018
160436,882,Greenhill,GHL,26.05,26.05,24.63,24.9,-1.1,-4.23,"682,048",26.55,13.8,0.2,0.8,...,27.69,Friday,Friday,5/11/2018
160437,882,Greenhill,GHL,25,25.6,24.85,25.4,0.5,2.01,"438,191",26.55,13.8,0.2,0.79,...,30.26,Monday,Monday,5/14/2018
160438,884,Greenhill,GHL,25.3,26.15,25.15,26,0.6,2.36,"708,688",26.55,13.8,0.2,0.77,...,33.33,Tuesday,Tuesday,5/15/2018
160439,885,Greenhill,GHL,26.05,27.15,26,26.85,0.85,3.27,"525,254",27.15,13.8,0.2,0.74,...,37.69,Wednesday,Wednesday,5/16/2018
160440,883,Greenhill,GHL,26.8,27.2,26.73,27.05,0.2,0.74,"289,578",27.2,13.8,0.2,0.74,...,38.72,Thursday,Thursday,5/17/2018
160441,884,Greenhill,GHL,27,27.5,26.9,27.35,0.3,1.11,"720,102",27.5,13.8,0.2,0.73,...,40.26,Friday,Friday,5/18/2018
160442,885,Greenhill,GHL,27.5,28.05,27.4,28.05,0.7,2.56,"353,227",28.05,13.8,0.2,0.71,...,43.85,Monday,Monday,5/21/2018
160443,880,Greenhill,GHL,28,28.55,27.88,28.2,0.15,0.53,"297,535",28.55,13.8,0.2,0.71,...,44.62,Tuesday,Tuesday,5/22/2018
160444,887,Greenhill,GHL,28.05,28.15,26.9,27.85,-0.35,-1.24,"1,402,651",28.55,13.8,0.2,0.72,...,42.82,Wednesday,Wednesday,5/23/2018
160445,886,Greenhill,GHL,27.85,27.9,27.2,27.45,-0.4,-1.44,"359,434",28.55,13.8,0.2,0.73,...,40.77,Thursday,Thursday,5/24/2018
160446,890,Greenhill,GHL,27.15,27.55,27.1,27.5,0.05,0.18,"388,738",28.55,13.8,0.2,0.73,...,41.03,Friday,Friday,5/25/2018
160447,888,Greenhill,GHL,27.2,27.55,26.95,27.25,-0.25,-0.91,"555,400",28.55,13.8,0.2,0.73,...,39.74,Tuesday,Tuesday,5/29/2018
160448,888,Greenhill,GHL,27.5,27.65,26.65,26.75,-0.5,-1.83,"763,961",28.55,13.8,0.2,0.75,...,37.18,Wednesday,Wednesday,5/30/2018
